,Song_name,queen
159,another one bites the dust remix   ,"""Let's go"", ""Steve walks warily down the street With his brim pulled way down low Ain't no sound but the sound of his feet Machine guns ready to go Are you ready hey are you ready for this? Are you hanging on the edge of your seat? Out of the doorway the bullets rip To the sound of the beat yeah"", ""Another one bites the dust Another one bites the dust And another one gone and another one gone Another one bites the dust Hey I'm gonna get you too Another one bites the dust"", ""How do you think I'm going to get along Without you when you're gone You took me for everything that I had And kicked me out on my own Are you happy are you satisfied? How long can you stand the heat Out of the doorway the bullets rip To the sound of the beat look out"", ""Another one bites the dust Another one bites the dust And another one gone and another one gone Another one bites the dust Hey I'm gonna get you too Another one bites the dust"", ""Hey"", ""Oh take it - Bite the dust bite the dust Hey Another one bites the dust Another one bites the dust ow Another one bites the dust he he Another one bites the dust haaaa Ooh shoot out"", ""There are plenty of ways that you can hurt a man And bring him to the ground You can beat him You can cheat him You can treat him bad and leave him When he's down But I'm ready yes I'm ready for you I'm standing on my own two feet Out of the doorway the bullets rip Repeating to the sound of the beat Another one bites the dust Another one bites the dust And another one gone and another one gone Another one bites the dust yeah Hey I'm gonna get you too Another one bites the dust Shoot out"""
160,crazy little thing called love 2011 remaster   ,"""This thing called love I just can't handle it this thing called love I must get round to it I ain't ready Crazy Little Thing Called Love"", ""This (This Thing) called love (Called Love) It cries (Like a baby) In a cradle all night It swings (Woo Woo) It jives (Woo Woo) It shakes all over like a jelly fish, I kinda like it Crazy Little Thing Called Love There goes my baby She knows how to Rock n' roll She drives me crazy She gives me hot and cold fever Then she leaves me in a cool cool sweat"", ""I gotta be cool relax, get hip Get on my track's Take a back seat, hitch-hike And take a long ride on my motor bike Until I'm ready Crazy Little Thing Called Love"", ""I gotta be cool relax, get hip Get on my track's Take a back seat, hitch-hike And take a long ride on my motor bike Until I'm ready (Ready Freddie) Crazy Little Thing Called Love"", ""This thing called love I just can't handle it this thing called love I must get round to it I ain't ready Crazy Little Thing Called Love Crazy Little Thing Called Love Crazy Little Thing Called Love Crazy Little Thing Called Love Crazy Little Thing Called Love Crazy Little Thing Called Love..."""
161,delilah   ,"""Delilah, Delilah oh my, oh my, oh my - you're irresistable - ooh ooh ooh You make me smile when I'm just about to cry You bring me hope, you make me laugh - and I like it You get away with murder, so innocent But when you throw a moody you're all claws and you bite That's alright! Delilah, Delilah oh my, oh my, oh my - you're unpredictable - ooh ooh ooh ooh You make me so very happy When you cuddle up and go to sleep beside me And then you make me slightly mad When you pee all over my Chippendale suite Ooh ooh Delilah Ooh ooh Delilah Oh oh oh oh oh oh oh You take over my house and home You even try to answer my telephone Delilah, you're the apple of my eyes Meeow, meeow, meeow Delilah - I love you, Delilah oh Ooh you make me so very happy - you give me kisses And I go out of my mind - ooh ooh Meeow, meeow, meeow, meeow You're irresistable - I love you Delilah Delilah - I love you, ha ha You make me very happy - oooh oh yeah I love your kisses I love your kisses I love your kisses I love your kisses I love your your your kisses I love your kisses"""
162,under pressure remastered   ,"""(Mm-boom-ba-ba Mm-boom-ba-bey M-boom-boom-ba-beh-beh)"", ""Pressure, pushing down on me pressing down on you, no man ask for Under pressure that burns a building down splits a family in two, puts people on streets"", ""(Mm-ba-ba-beh Mm-ba-ba-beh Y-de-da Y-de-da That's okay!)"", ""It's the terror of knowing what this world is about Watching some good friends screaming, \""let me out\"" Tomorrow gets me higher Pressure on people, people on streets"", ""(Da-da-da Ba-da-da-ba-bap Okay)"", ""Chippin' around, kick my brains around the floor These are the days, it never rains but it pours"", ""(Y-doh-deh-doh) Y-doh-bap-ba-bap Y-doh-bap Hello)"", ""People on streets (Y-da-dee-da-deh) People on streets (Y-da-dee-da-dee-da-dee-da)"", ""It's the terror of knowing what this world is about Watching some good friends screaming, \""let me out\"" Tomorrow gets me higher, higher, high! Pressure on people, people on streets"", ""Turned away from it all like a blind man Sat on a fence, but it don't work Keep comin' up with love, but it's so slashed and torn Why, why, why? Love (love, love, love, love)"", ""Insanity laughs, under pressure we're cracking Can't we give ourselves one more chance? Why can't we give love that one more chance? Why can't we give love, give love, give love, give love give love, give love, give love, give love, give love"", ""'Cause love's such an old fashioned word and love dares you to care for the people on the edge of the night, and love dares you to change our way of caring about ourselves"", ""This is our last dance This is ourselves Under pressure Under pressure Pressure"""
163,get down make love   ,"""Get down, make love Get down, make love Get down, make love Get down, make love"", ""You take my body I give you heat You say you're hungry I give you meat I suck your mind You blow my head Make love Inside your bed, everybody"", ""Get down make love Get down make love Get down make love Get down make love"", ""Everytime I get hot You wanna cool down Everytime I get high You say you wanna come down You say it's enough In fact it's too much Everytime I get a Get down get down get down Make love"", ""(Get down) I can squeeze (make love) you can shake me (Get down) I can feel (make love) when you break me (Get down) come on so heavy (make love) (Get down) when you take me (make love) You make love, you make love, you make love, you make love"", ""You can make everybody get down make love Get down make love"", ""Everytime I get high You wanna come down Everytime I get hot You say you wanna cool down You say it's enough In fact it's too much Everytime I wanna get down Get down, get down"", ""Get down, make love Get down, make love Get down, make love Get down, make love"", ""Everytime I get hot You wanna cool down Everytime I get high You say you wanna come down You say it's enough In fact it's too much Everytime I wanna Get down, get down Get down, make love"""
164,say its not true   ,"""[Roger]: The harder we play The faster we fall When we think that we know it all We know nothing at all"", ""The letter arrives Like a bolt from the blue So what's left of your lives All your dreams lost to you"", ""Say it ain't true Say it today When I open my eyes Will it all go away"", ""Say it's not true Say it's not real Can't be happening to you Can't be happening to me"", ""[Brian]: It's hard not to cry It's hard to believe So much heartache and pain So much reason to grieve"", ""With the wonders of science All the knowledge we've stored Magic cocktails for lives People just can't afford"", ""[Roger and Brian]: Say it's not true You can say it's not right So hard to believe The size of the crime"", ""[Paul]: Say it's not true You can say it's not right So hard to believe The size of the crime"", ""Sayyy Say it's not real Ooooh It could be happening to you"", ""Say it's not true Say it's not right It's hard to believe The size of the crime"", ""Say it's not true Say it's not real Could be happening to you It could be happening to me"""
165,time to shine   ,"""With the sun in your eyes and the wind in your face To heaven you rise in a holy embrace Your feet on the ground your head in the clouds And you're wondering if you're never coming down"", ""In an instant the mysteries of life will unfold The myths and the dragons of time will explode Here's to a real understanding of truth For compassion and grace to be given their chance too"", ""Raise up your mind It's time to shine"", ""A moment down through millennium Unveiling the secrets of song to be sung Waters of life flowing soft to the touch Wisdom remembered have we forgotten oh so much"", ""Raise up your mind It's time to shine Raise up your mind Hey, it's time to shine"", ""Let's awaken from barbarity Into a world of serenity Beyond the rage of foolish pride And on to the golden shores of paradise"", ""Raise up your mind Hey, it's time to shine Raise up your mind Hey, it's time to shine Raise up your mind Your time to shine It's time to shine It's time to shine"""
166,we will rock you full verion   ,"""Buddy you're a boy make a big noise Playin' in the street Gonna be a big man some day You got mud on yo' face You big disgrace Kickin' your can all over the place Sing it"", ""We will we will rock you We will we will rock you"", ""Buddy you're a young man hard man Shoutin' in the street Gonna take on the world some day You got blood on yo' face You big disgrace Wavin' your banner all over the place"", ""We will we will rock you Sing it We will we will rock you"", ""Buddy you're an old man poor man Pleadin' with your eyes Gonna make you some peace some day You got mud on your face You big disgrace Somebody better put you back into your place"", ""We will we will rock you Sing it We will we will rock you Everybody We will we will rock you We will we will rock you Alright"""
167,keep yourself alive live at the rainbow   ,"""Take off I was told a million times Of all the troubles in my way Tried to grow a little wiser Little better every day But if I crossed a million rivers And I rode a million miles Then I'd still be where I started Bread and butter for a smile Well I sold a million mirrors In a shopping alley way But I never saw my face In any window any day Now they say your folks are telling you Be a super star But I tell you just be satisfied Stay right where you are"", ""Keep yourself alive Keep yourself alive It'll take you all your time and money To keep me satisfied"", ""Well I've loved a million women In a belladonic haze And I ate a million dinners Brought to me on silver trays Give me everything I need To feed my body and my soul And I'll grow a little bigger Maybe that can be my goal I was told a million times Of all the people in my way How I had to keep on trying And get better every day But if I crossed a million rivers And I rode a million miles Then I'd still be where I started Same as when I started"", ""Keep yourself alive, come on Keep yourself alive It'll take you all your time and money Keep yourself alive"", ""Keep yourself alive Keep yourself alive It'll take you all your time and money Honey, you'll survive"", ""Do you think you're better every day? No, I just think I'm two steps nearer to my grave"", ""Keep yourself alive Keep yourself alive All you people keep yourself alive Keep yourself alive Come on, keep yourself alive All you people keep yourself alive"""
168,love kills the ballad   ,"""Love don't give no compensation, love don't pay no bills Love don't give no indication Love just won't stand still"", ""Love kills, drills you through your heart Love kills, scars you from the start It's just a living pastime, ruining your heartline Stays for a lifetime won't let you go Coz love, love, love won't leave you alone"", ""Love don't take no reservations, love is no square deal Hey love don't give no justification, it strikes like cold steel Love kills, drills you through your heart Love kills, scars you from the start It's just a living pastime, burning your lifeline Stay for a long time won't let you go Coz love, love, love won't leave you alone Coz love, love, love won't leave you alone"", ""Love can play with your emotions Open invitation to your heart Love can play with your emotions Open invitation to your heart Love kills"", ""Love can play with your emotions Open invitation to your heart Love kills Love kills Love, love, love, love Love kills"", ""Drills you through your heart Love kills, scars you from the start It's just a living pastime, ruining your heartline Won't let you go Love kills, hey, drills you through your heart Love kills, tears you right apart It won't let go It won't let go Love kills, yeah, yeah"", ""Love kills drills you through your heart Love kills"""
169,is this the world we created live at wembley stadium july   ,"""Just look at all those hungry mouths we have to feed. Take a look at all the suffering we breed. So many lonely faces scattered all around"", ""Searching for what they need."", ""Is this the world we created? What did we do it for? Is this the world we invaded against the law? So it seems in the end Is this what we're all living for today? The world that we created"", ""You know that every day a helpless child is born"", ""Who needs some loving care inside a happy home Somewhere a wealthy man is sitting on his throne"", ""Waiting for life to go by Is this the world we created?"", ""We made it on our own Is this the world we devastated right to the bone? If there's a God in the sky, looking down, What can he think of what we've done To the world that He created?"""
170,soon its round your street im creeping   ,"""We gonna Tear it up Stir it up Break it up - Baby - You gotta Tear it up Shake it up Make it up - as you go along. Tear it up Square it up Wake it up - Baby. Tear it up Stir it up Stake it out - and you can't go wrong. (Hey) I love you cos you're sweet and I love you cos you're naughty I love you for you mind but give me your body I wanna be a toy at your birthday party Wind me up - wind me up - wind me up - let me go - Tear it up Stir it up Break it up - let me go. Tear it up Shake it up Make it up - as you go along. Tear it up Turn it up Burn it up."""
171,dragon attack   ,"""Take me to the room where the red's all red Take me out of my head-'s what i said Take me to the room where the green's all green And from what i've seen it's hot it's mean"", ""Gonna use my stack It's gotta be mack Gonna get me on the track Got a dragon on my back"", ""Take me to the room where the beat's all round Gonna eat that sound Take me to the room where the black's all white And the white's all black take me back to the shack"", ""She don't take no prisoners Gonna give me the business Got a dragon on my back It's a dragon attack"", ""Get down, I said so Hey hey, all right"", ""She's low down She don't take no prisoners Go down Gonna give me the business No time Chained to the rack! Show time Got a dragon on my back Show down Go find another customer Slow down I gotta make my way"""
172,funny how love is   ,"""Funny how love is everywhere just look and see funny how love is anywhere you're bound to be funny how love is every song in every key funny how love is coming home in time for tea funny funny funny oh funny how love is the end of the lies when the truth begins tomorrow comes tomorrow brings tomorrow brings love in the shape of things that's what love is that's what love is Funny how love can break your heart so suddenly funny how love came tumbling down with adam and eve funny how love is running wild feeling free funny how love is coming home in time for tea funny funny funny oh from the earth below to the heavens above that's how far and funny is love at any time anywhere if you gotta make love do it everywhere that's what love is that's what love is Funny how love is everywhere just look and see funny how love is anywhere you're bound to be funny how love is every song in every key funny how love is when you gotta hurry 'cause you're late for tea funny funny funny oh tommorrow comes tomorrow brings tomorrow brings love in the shape of things at any time anywhere if you gotta make love do it everywhere that's what love is that's what love is"""
173,cool cat   ,"""Ooh yeah yeah yeah yeah! You're taking all the sunshine away Making out like you're the main line (I knew that) 'Cause you're a cool cat Tapping on the toe with a new hat Ooh just cruising Driving along like the swing king Feeling the beat of my heart huh! Feeling the beat of my heart Ooh you're a cool cat Coming on strong with all the chit chat Ooh you're alright Hanging out and stealing all the limelight Ooh messing with the beat of my heart yeah! Ooh you used to be a mean kid Ooh making such a deal of life Ooh you were wishing and hoping and waiting To really hit the big time But did it happen? happen no! You're speeding to fast slow down Slow down you'd better slow down slow down You really know how to set the mood And you really get inside the groove Cool cat tapping on the toe with a new hat Ooh just cruising Driving along like the swing king Feeling the beat of my heart Feeling the beat of my heart yeah! Feeling the beat of my heart Can you feel it? Feeling the beat of my heart Feeling the beat of my heart Ooh feeling feeling feeling Feeling ev'ry feeling."""
174,still burning   ,"""I can't wake in the mornin' I can't sleep at night I got a pain in my memory That just won't sit right You might say I'm losing my mind What a shame, shame, shame But I don't want and I don't need To play the cryin' game"", ""Music lights this flame in me I won't let it go and it won't let me be I'm just a happy slave and oh I can't leave it 'cause I'm still, and I always will, be a believer"", ""Still burnin' (Yeah) Still yearnin' (And the wheel's) Still turnin' (Let me tell you why) We're jivin' (And the beat's) Still drivin' (And we are all) Divin' (Rock'n'roll never die)"", ""I can't breathe in the city Got dust in my lungs I get mad in the country Everythin' seem to go wrong You might think I'm playin' around But my heart is true I got reason to believe That sweet soul magic Gonna tear my heart in two"", ""Music makes the world go round I've been flyin' on the wings of the sound It feels so good from way up here I'm still a believer Headin' for the stars"", ""(Still burnin') (Still yearnin') Still turnin' (Better than every guy) (We're jivin') (Still drivin') Sky divin' (Rock'n'roll never die)"", ""Don't say that you love me I can't go down that road But don't think for a moment that my heart went cold I keep thinkin' about what I lost And what I might have found I went to sleep and when I woke Everything had turned around"", ""Still burnin' (Yeah) (Still yearnin') Still turnin' (A new day dawnin') (We're jivin') (Still drivin') Sky divin' (Early in the morning)"", ""Still burnin' (Yeah) Still yearnin' (And the wheel's) Still turnin' (Better than every guy) We're jivin' (And the beat's) Still drivin' (And we're all) Sky divin' (Rock'n'roll never die)"""
175,in the lap of the gods revisited 2011 remaster   ,"""It's so easy but I can't do it So risky But I gotta chance it It's so funny There's nothing to laugh about My money That's all you want to talk about I can see what you want me to be But I'm not fool"", ""It's in the lap of the Gods I can see what you want me to be But I'm no fool"", ""No beginning there's no ending There's no meaning In my pretending Believe me life goes on and on and on Forgive me when I ask you Where do I belong You say I can't set you free from me But that's not true"", ""It's in the lap of the Gods I can see what you want me to be But I'm no fool It's in the lap of the Gods Wo wo la la la wo Wo wo la la Wah wah ooh But that's not true It's in the lap of the Gods"""
176,the march of the black    ,"""Queen - March Of The Black Queen Do you mean it, do you mean it, do you mean it?"", ""Why don't you mean it? Why do I follow you? And where do you go? Ah, ah, ah, ah-ah Ah ah Aah-ah Aah ah"", ""Ah, ah-ah, ah-ah, ah-ah, ah-ah, ah You've never seen nothing like it No never in your life"", ""Like going up to heaven And then coming back alive Let me tell you all about it Oooh give me a little time to choose Water babies singing in a lily pool delight Blue powder monkeys praying in the dead of night Here comes the Black Queen, poking in the pile"", ""Fi fo the Black Queen, marching single file Take this, take that, bring them down to size March to the Black Queen Put them in the cellar with the naughty boys Little nigger sugar then a rub-a-dub-a-baby oil Black on black on every finger nail and toe We've only begun - begun Make this make that keep making all that noise Ooh march to the Black Queen"", ""Now I've got a belly full You can be my sugar baby You can be my honey chile A voice from behind me reminds me Spread out your wings you are an angel Remember to deliver with the speed of light A little bit of love and joy"", ""Everything you do bears a will And a why and a wherefore A little bit of love and joy In each and every soul lies a man"", ""And very soon he'll deceive and discover But even to the end of his life He'll bring a little love Ah ah ah ah ah I reign with my left hand I rule with my right I'm lord of all darkness I'm queen of the night I've got the power now to do The march of the Black Queen My life is in your hands I'll fo and I'll fie I'll be what you make me I'll do what you like I'll be a bad boy I'll be your bad boy I'll do the march of the Black Queen Ah ah ah ah ah Walking true to style she's vulgar abuse and vile The Black Queen tattoos all her pies She boils and she bakes And she never dots her I's La la la la la la la la la la la la La la la la la Forget your sing a-longs and your lullabies Surrender to the city of the fireflies Dance to the devil in beat with the band To hell with all of you hand in hand But now it's time to be gone La la la la forever forever Ah ah ah ah ah"""
177,polar bear   ,"""Words and music by Brian May and Tim Staffell"", ""In the bright shop window sits the polar bear Makes the children's eyes light up to see him there Amongst the tinsel he gives everyone a smile To see him as you'd see a star Love him from where you are He's not for, not for, not for sale Past an open window walks the pretty girl Does she see me at her feet it's hard to tell But if I ask her she might turn her smile away To see her as I'd see a star Love her from where you are She's not for, not for, not for sale I guess I'll learn to look Without a grasping hand Minor contentment wears a smile I love her from where I lie He's not for, not for, not for sale Not for sale"""
178,we are the champions raw sessions version   ,"""I've paid my dues Time after time I've done my sentence"", ""But committed no crime"", ""And bad mistakes I've made a few I've had my share of sand Kicked in my face But I've come through"", ""(And we mean to go on, and on, and on, and on)"", ""We are the champions, my friends And we'll keep on fighting till the end We are the champions We are the champions No time for losers 'Cause we are the champions Of the world"", ""I've taken my bows And my curtain calls You brought me fame and fortune And everything that goes with it I thank you all"", ""But it's been no bed of roses No pleasure cruise I consider it a challenge Before the whole human race And I ain't gonna lose (And we mean to go on, and on, and on, and on)"", ""We are the champions, my friends And we'll keep on fighting till the end We are the champions We are the champions No time for losers 'Cause we are the champions Of the world"", ""We are the champions, my friends And we'll keep on fighting till the end We are the champions We are the champions No time for losers 'Cause we are the champions"""
179,one by one   ,
180,my fairy king   ,"""In the land where horses born with eagle wings And honey bees have lost their stings There's singing forever Lion's den with fallow deer And rivers made from wine so clear Flow on and on forever Dragons fly like sparrows thru' the air And baby lambs where Samson dares To go on on on on on on"", ""My fairy king can see things | He rules the air and turns the tides That are not there for you and me | Ohh yeah he guides the winds"", ""My fairy king can do right and nothing wrong Then came man to savage in the night To run like thieves and to kill like knives To take away the power from the magic hand To bring about the ruin to the promised land"", ""They turn the milk into sour Like the blue in the blood of my veins Why can't you see it Fire burnin' in hell with the cry of screaming pain Son of heaven set me free and let me go Sea turn dry no salt from sand Teeth don't shine like pearls for the poor man's eyes"", ""Someone someone has drained the colour from my wings Broken my fairy circle ring And shamed the king in all his pride Changed the winds and wronged the tides Mother mercury (mercury) Look what they've done to me I cannot run I cannot hide"""
181,the great pretender   ,"""Oh yes I'm The Great Pretender (ooh ooh)"", ""Pretending I'm doing well (ooh ooh) My need is such I pretend too much I'm lonely but no one can tell Oh yes I'm The Great Pretender (ooh ooh)"", ""Adrift in a world of my own (ooh ooh) I play the game but to my real shame You've left me to dream all alone Too real is this feeling of make believe"", ""Too real when I feel what my heart can't conceal Ooh Ooh yes I'm The Great Pretender (ooh ooh)"", ""Just laughing and gay like a clown (ooh ooh) I seem to be what I'm not (you see) I'm wearing my heart like a crown Pretending that you're still around Yeah ooh hoo"", ""Too real when I feel what my heart can't conceal Oh yes I'm The Great Pretender Just laughing and gay like a clown (ooh ooh) I seem to be what I'm not you see I'm wearing my heart like a crown Pretending that you're Pretending that you're still around"""
182,somebody to love remastered 2011   ,"""Can anybody find me somebody to love? Each morning I get up I die a little Can barely stand on my feet (Take a look at yourself in the mirror and cry) Take a look in the mirror and cry Lord what you're doing to me I have spent all my years in believing you But I just can't get no relief, Lord"", ""Somebody (somebody) Ooh somebody (somebody) Can anybody find me Somebody to love?"", ""I work hard (he works hard) Every day of my life I work till I ache my bones At the end (at the end of the day) I take home my hard-earned pay all on my own (yes, on my knees on) I get down (down) on my knees (knees) And I start to pray (praise the Lord) Till the tears run down from my eyes, Lord"", ""Somebody (somebody) Ooh somebody (somebody) Can anybody find me Somebody to love?"", ""(He works hard) Everyday (everyday) I try and I try and I try But everybody wants to put me down They say I'm goin' crazy They say I got a lot of water in my brain No, I got no common sense (He's got) Got nobody left to believe No, no, no, no"", ""(Oh Lord) Ooh somebody Ooh (somebody) Anybody find me Somebody to love (Anybody find me someone to love)"", ""Got no feel, I got no rhythm I just keep losing my beat (just keep losing and losing) I'm okay, I'm alright (he's alright, he's alright) I ain't gonna face no defeat (yeah, yeah) I just gotta get out of this prison cell Someday I'm gonna be free, Lord"", ""Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love"", ""Somebody (somebody) Somebody (somebody) Somebody (find me) (Somebody find me somebody to love) Can (anybody find me) Somebody to love? (Find me somebody to love) Ooh (Find me somebody to love) Every somebody (Find me somebody to love) Somebody, somebody, somebody to love (Find me somebody to love) Find me, find me, find me, find me, find me somebody to love (Find me somebody to love) Ooh (Find me somebody to love) Somebody find me, find me somebody to love (Find me somebody to love) Anybody, anywhere, anybody find me somebody to love Find me, find me, find me"""
183,39   ,"""In the year of '39 assembled here the volunteers In the days when lands were few Here the ship sailed out into the blue and sunny morn The sweetest sight ever seen"", ""And the night followed day And the story tellers say That the score brave souls inside Um, for many a lonely day sailed across the milky seas Never looked back, never feared, never cried"", ""Don't you hear my call though you're many years away Don't you hear me calling you Write your letters in the sand For the day I take your hand In the land that our grandchildren knew"", ""In the year of '39 came a ship in from the blue The volunteers came home that day And they bring good news of a world so newly born Though their hearts so heavenly weigh For the earth is old and grey, little darling went away But my love this cannot be For so many years have gone though I'm older but a year Your mothers eyes from your eyes cry to me"", ""Don't you hear my call though you're many years away Don't you hear me calling you Write your letters in the sand For the day I take your hand In the land that our grandchildren knew"", ""Don't you hear my call though you're many years away Don't you hear me calling you All your letters in the sand Cannot heal me like your hand For my life still ahead - pity me"""
184,white  as it began live at the hammersmith odeon   ,"""So sad her eyes smiling dark eyes So sad her eyes as it began On such a breathless night as this"", ""Upon my brow the lightest kiss I walked alone And all around the air did sway My lady soon will stir this way In sorrow known The white Queen walks And the night grows pale Stars of lovingness in her hair Heeding unheard pleading one word So sad my eyes she cannot see"", ""How did thee fare what have thee seen The mother of the willow green I call her name And 'neath her window have I stayed I loved the footsteps that she made And when she came White Queen how my heart did ache And dry my lips no word would make So still I wait"", ""My goddess hear my darkest fear I speak too late It's for evermore that I wait Dear friend goodbye No tears in my eyes So sad it ends as it began"""
185,man on the prowl   ,"""Words and music by freddie mercury I'm gonna take a little walk on the wild side i'm gonna loosen up and get me some gas i'm gonna get me some action go crazy driving is the fast lane my baby left me alone she done me dirty and i'm feeling so lonely so come home come home if you don't you're gonna break my heart Man on the prowl you'd better watch out i'm on the loose and i'm looking for trouble so look out (yeah yeah) - look out (yeah yeah) i'm a man on the prowl I don't wanna be a rock'n'roll steady i just wanna be low down trash i wanna go to the movies all i wanna do is sit on my ass so honey come home (come home come home) don't leave me when i'm feeling so lonely come home (yeah yeah) - come home (yeah yeah) if you don't you're gonna break my heart Man on the prowl you'd better watch out i'm on the loose and i'm looking for trouble so look out (yeah yeah) - look out (yeah yeah) cos i'm a man on the prowl Well i keep dreaming about my baby but it ain't gonna get me nowhere i'm gonna teach my baby dancin' but i ain't no fred astaire So baby look out - i'm a man on the prowl look out - man on the prowl - yeah! baby baby baby look out - man on the prowl So baby come home i'm on the loose and i'm looking for trouble baby come home - oh yeah! 'cos i'm a man on the prowl so honey come home - come home 'cos i'm a man on the prowl - yeah! man on the prowl"""
186,good old fashioned lover boy   ,"""I can dim the lights and sing you songs full of sad things We can do the tango just for two I can serenade and gently play on your heart strings Be your Valentino just for you"", ""Ooh love, ooh loverboy What you doing tonight? (oooh, hey boy) Set my alarm, turn on my charm That's because I'm a good old fashioned loverboy"", ""Ooh, let me feel your heartbeat (grow faster, faster) (Ooh, ooh), can you feel my love heat Come on and sit on my hot seat of love And tell me how do you feel right after all I'd like for you and I to go romancing Say the word, your wish is my command"", ""Ooh love, ooh loverboy What you doing tonight? (ooh, hey boy) Write my letter We're much better And use my fancy patter on the telephone"", ""Yeah When I'm not with you Think of you always I miss you When I'm not with you Think of me always"", ""I love you, love you Hey boy, where do you get it from? Hey boy, where did you go? I learned my passion"", ""In the good old fashioned school of loverboys Dining at the Ritz we'll meet at nine, (one, two, three, four, five, six, seven, eight, nine o'clock) precisely I will pay the bill, you taste the wine Driving back in style in my saloon will do quite nicely Take me back to yours that will be fine"", ""Come on and get it Ooh love, ooh loverboy What're you doing tonight? Hey boy Everything's all right Just hold on tight That's because I'm a good old fashioned, fashioned Lover boy"""
187,teo torriate let us cling together   ,"""When I'm gone No need to wonder if I ever think of you The same moon shines The same wind blows For both of us, and time is but a paper moon... Be not gone"", ""Though I'm gone It's just as though I hold the flower that touches you A new life grows The blossom knows There's no one else could warm my heart as much as you... Be not gone"", ""Let us cling together as the years go by Oh my love, my love In the quiet of the night Let our candle always burn Let us never lose the lessons we have learned"", ""Teo torriatte konomama iko Aisuruhito yo Shizukana yoi ni Hikario tomoshi Itoshiki oshieo idaki"", ""Hear my song Still think of me the way you've come to think of me The nights grow long But dreams live on Just close your pretty eyes and you can be with me... Dream on"", ""Teo torriatte konomama iko Aisuruhito yo Shizukana yoi ni Hikario tomoshi Itoshiki oshieo idaki"", ""When I'm gone They'll say we're all fools and we don't understand Oh be strong Don't turn your heart We're all You're all For all For always"", ""Let us cling together as the years go by Oh my love, my love In the quiet of the night Let our candle always burn Let us never lose the lessons we have learned"", "" """
188,football fight   ,
189,white  as it began   ,"""So sad her eyes smiling dark eyes So sad her eyes as it began On such a breathless night as this Upon my brow the lightest kiss I walked alone And all around the air did sway My lady soon will stir this way In sorrow known The white Queen walks And the night grows pale Stars of lovingness in her hair Heeding unheard pleading one word So sad my eyes she cannot see  How did thee fare what have thee seen The mother of the willow green I call her name And 'neath her window have I stayed I loved the footsteps that she made And when she came"", ""White Queen how my heart did ache And dry my lips no word would make So still I wait  My goddess hear my darkest fear I speak too late It's for evermore that I wait"", ""Dear friend goodbye No tears in my eyes So sad it ends  as it began"""
190,she blows hot cold   ,"""Words and music by freddie mercury"", ""She's a sexy lady she can do it then she'd kick you out of bed Tricky talking baby she can rock and roll and leave you for dead Blow hot and cold blow hot and cold She can give you the business give you the business She blows she blows hot and cold"", ""She's a modern lady she can fight it out man to man She's a dirty so and so - she can do it do it do it she can Blow hot and cold blow hot and cold She can give you the business give you the business She blows she blows hot and cold"", ""Hey give me the business baby She can give you the business yeah She's a dirty so and so Hey she blows she blows she blows hot and cold"", ""She's a sexy lady she can bring you to a very sticky end Sexy talking tricky talking baby She can rock and roll and leave you for dead"", ""Blow hot and cold She blows hot and cold She can give you the business give you the business She blows she blows hot and cold"", ""Hey hey Hot and cold Hey Blow hot and cold Come on and do it Come on and give me the business Give me the business baby She blows she blows hot and cold"""
191,we are the champions   ,"""I've paid my dues Time after time I've done my sentence But committed no crime And bad mistakes I've made a few I've had my share of sand Kicked in my face But I've come through And we mean to go on and on and on and on"", ""We are the champions, my friends And we'll keep on fighting till the end We are the champions We are the champions No time for losers 'Cause we are the champions of the world"", ""I've taken my bows And my curtain calls You brought me fame and fortune And everything that goes with it I thank you all But it's been no bed of roses No pleasure cruise I consider it a challenge before The whole human race And I ain't gonna lose And we mean to go on and on and on and on"", ""We are the champions, my friends And we'll keep on fighting till the end We are the champions We are the champions No time for losers 'Cause we are the champions of the world"", ""We are the champions, my friends And we'll keep on fighting till the end We are the champions We are the champions No time for losers 'Cause we are the champions"""
