,Song_name,queen
20,youre my best friend   ,"""Ooh, you make me live Whatever this world can give to me It's you, you're all I see Ooh, you make me live now honey Ooh, you make me live Oh, you're the best friend That I ever had I've been with you such a long time You're my sunshine And I want you to know That my feelings are true I really love you (Ooh) Oh, you're my best friend Ooh, you make me live Ooh, I've been wandering round But I still come back to you (still come back to you) In rain or shine You've stood by me girl I'm happy at home (happy at home) You're my best friend Ooh, you make me live Whenever this world is cruel to me I got you, to help me forgive - oo oo ooh Ooh, you make me live now honey Ooh, you make me live Oh, you're the first one When things turn out bad You know I'll never be lonely You're my only one And I love the thing I really love the things that you do Oh, you're my best friend Oh, ooh, you make me live I'm happy (happy at home) You're my best friend Oh, oh, you're my best friend Ooh, you make me live Oo oo ooh You, you're my best friend"""
21,forever   ,
22,the loser in the end   ,"""Mama's got a problem She don't know what to say Her little baby boy Has just left home today She's got to be the loser in the end She's got to be the loser in the end Misuse her and you'll lose her as a friend She's ma on whom you can always depend ooh"", ""She washed and fed and clothed and cared For nearly twenty years And all she gets is Goodbye Ma And the night times for her tears She's got to be the loser in the end She's got to be the loser in the end Misuse her and you'll lose her as a friend She's ma on whom you can always depend ooh"", ""So listen mothers ev'rywhere To just one mothers son You'll get forgotten on the way If you don't let them have their fun Forget regrets and just remember It's not so long since you were young"", ""You're bound to be the loser in the end You're bound to be the loser in the end They'll chose their new shoes That's not far to bend You're ma on whom they can always depend ooh ooh..."""
23,another one bites the dust remastered 2011   ,"""Ooh, let's go!"", ""Steve walks warily down the street With the brim pulled way down low Ain't no sound but the sound of his feet Machine guns ready to go Are you ready? Hey, are you ready for this? Are you hanging on the edge of your seat? Out of the doorway the bullets rip To the sound of the beat, yeah"", ""Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you too Another one bites the dust How do you think I'm going to get along Without you, when you're gone You took me for everything that I had And kicked me out on my own Are you happy, are you satisfied? How long can you stand the heat? Out of the doorway the bullets rip To the sound of the beat Look out"", ""Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust Hey, I'm gonna get you too Another one bites the dust"", ""Hey Oh, take it Bite the dust, bite the dust Hey Another one bites the dust Another one bites the dust, ow Another one bites the dust, hey hey Another one bites the dust, hey-eh-eh Ooh shoot out"", ""There are plenty of ways you can hurt a man And bring him to the ground You can beat him, you can cheat him, you can treat him bad And leave him when he's down, yeah But I'm ready, yes I'm ready for you I'm standing on my own two feet Out of the doorway the bullets rip Repeating the sound of the beat Oh yeah"", ""Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust(Yeah) Hey, I'm gonna get you too Another one bites the dust"", ""Shoot out Ay-yeah All Right"""
24,through the night   ,"""Tell me something that'll ease my pain I am living life in vain Crying doesn't help me anymore Tell me something that'll ease my mind I am walking the line Trying doesn't get my anywhere"", ""I wander through the night All the stars are shining bright Searching for a guiding light I wander through the night"", ""Tell me something 'cause I need to know Can you teach me how to live How to understand how to love and how to give Anger burns in bitterness and fills me up inside I can't face it and there's no place I can hide"", ""I wander through the night All the stars are shining bright Searching for a guiding light I wander through the night"", ""Tell me something 'cause I need to know Can you teach me how to live How to understand how to love and how to give Anger burns in bitterness and fills me up inside Without your love there's nowhere I can hide"", ""I wander through the night All the stars are shining bright Searching for a guiding light I wander through the night"""
25,body language   ,"""Give me, body - give me - body - body - give me your body Don't talk, Baby don't talk Body language Give me your body Just give me your body Give me your body Don't talk Body language You got red lips Snakes in your eyes Long legs, great thighs You've got the cutest ass I've ever seen Knock me down for a six anytime Look at me - I gotta case of body language Body language - body language - yeah Sexy body, sexy, sexy body I want your body Baby you're hot Body language"""
26,the kiss aura resurrects flash   ,
27,las palabras de amor the words of love   ,"""Don't touch me now Don't hold me now Don't break the spell darling Now you are near Look in my eyes and speak to me The special promises I long to hear Las palabras de amor Let me hear the words of love Despacito mi amor Love me slow and gently One foolish world so many souls Senselessly hurled through The never ending cold And all for fear and all for greed Speak any tongue But for God's sake we need Las palabras de amor Let me hear the words of love Despacito mi amor Let me know this night and evermore This room is bare"", ""This night is cold We're far apart and I'm growing old But while we live We'll meet again So then my love We may whisper once more It's you I adore Las palabras de amor Let me hear the words of love Despacito mi amor Touch me now Las palabras de amor Let us share the words of love For evermore evermore For evermore."""
28,patience   ,"""Shed a tear 'cause I'm missing you I'm still alright to smile Girl, I think about you every day now Was a time when I wasn't sure But you set my mind at ease There is no doubt you're in my heart now Said woman take it slow It'll work itself out fine All we need is just a little patience Said sugar make it slow And we'll come together fine All we need is just a little patience (inhale) Patience... Ooh, oh, yeah"", ""Sit here on the stairs 'Cause I'd rather be alone If I can't have you right now, I'll wait dear Sometimes, I get so tense But I can't speed up the time But you know, love, there's one more thing to consider Said woman take it slow Things will be just fine You and I'll just use a little patience Said sugar take the time 'Cause the lights are shining bright You and I've got what it takes to make it We won't fake it, Oh never break it 'Cause I can't take it"", ""...little patience, mm yeah, ooh yeah, Need a little patience, yeah Just a little patience, yeah Some more pati... (ence, yeah) I've been walking these streets at night Just trying to get it right (Need some patience, yeah) It's hard to see with so many around You know I don't like being stuck in a crowd (Could use some patience, yeah) And the streets don't change but maybe the name I ain't got time for the game 'Cause I need you (Patience, yeah) Yeah, yeah well I need you Oh, I need you (Take some patience) Whoa, I need you (Just a little patience is all we need) Ooh, this ti- me...."""
29,tear it up   ,"""Are you ready? Well are you ready? We gonna tear it up - yeah yeah yeah yeah yeah Turn me loose it Yeah yeah yeah yeah Wooh hoo"", ""Hey, give me your mind baby give me your body Yeah, give me some time baby let's have a party It ain't no time for sleepin' baby Soon it's round your street I'm creeping You better be ready"", ""We gonna tear it up Stir it up Break it up - baby"", ""You gotta tear it up Shake it up Make it up - as you go along"", ""Tear it up - yeah Square it up - yeah Wake it up - baby"", ""Tear it up Stir it up Stake it out - and you can't go wrong"", ""Hey, listen I love 'cos you're sweet and I love you 'cos you're naughty Yeah, I love you for your mind baby give me your body Mmm, I wanna be a toy at your birthday party Wind me up - wind me up - wind me up - let me go, yeah"", ""Tear it up Stir it up Break it up - let me go"", ""Tear it up Shake it up Make it up - as you go along"", ""Tear it up - ha ha Turn it up Burn it up"", ""Hey hey Are you ready (oh yeah) Yeah, baby baby baby are you ready for me? (oh yeah) I love you baby baby baby are you ready for love? (oh yeah) Are you ready - are you ready - are you ready for me? hey (oh yeah) Hey I love you so near, I love you so far I gotta tell you baby you're driving me ga ga"", ""Tear 'em up - tear it off Yeah let's go Wooh, what are you doin' to me? Ha Yeah yeah Oh baby baby baby baby let's tear it up Wooh hoo"""
